Date,Open,High,Low,Close,Volume
2024-01-01,250,255,248,252,1200
2024-01-02,252,258,251,257,1500
2024-01-03,257,260,256,259,1700
2024-01-04,259,263,258,262,1600
2024-01-05,262,265,260,264,1800
2024-01-06,264,268,263,267,2000
2024-01-07,267,270,266,269,2100
2024-01-08,269,272,268,271,1900
2024-01-09,271,275,270,274,2200
2024-01-10,274,278,273,277,2300
2024-01-11,277,280,276,279,2400
2024-01-12,279,283,278,282,2500
2024-01-13,282,285,281,284,2600
2024-01-14,284,288,283,287,2700
2024-01-15,287,290,286,289,2800
2024-01-16,289,293,288,292,2900
2024-01-17,292,295,291,294,3000
2024-01-18,294,298,293,297,3100
2024-01-19,297,300,296,299,3200
2024-01-20,299,303,298,302,3300
